Nigerian Male,Weight,Nigerian Female,Weight,Nigerian Unisex,Weight,Nigerian Surname,Weight,Ethiopian Male,Weight,Ethiopian Female,Weight,Ethiopian Unisex,Weight,Ethiopian Surname,Weight,South African Male,Weight,South African Female,Weight,South African Unisex,Weight,South African Surname,Weight
Musa,1,Blessing,1,Taiwo,1,Ibrahim,1,Kebede,1,Kassa,1,Bekele,1,Tesfaye,1,Johannes,1,Maria,1,Sibongile,1,Dlamini,1
Ibrahim,1,Aisha,1,Kehinde,1,Musa,1,Abebe,1,Desta,1,Tadesse,1,Mohammed,1,David,1,Elizabeth,1,Mpho,1,Nkosi,1
Abubakar,1,Fatima,1,Chinedu,1,Abubakar,1,Mekonnen,1,Lemma,1,Ayele,1,Getachew,1,John,1,Anna,1,Themba,1,Ndlovu,1
Sani,1,Mary,1,Rabi,1,Abdullahi,1,Ahmed,1,Lema,1,Belay,1,Abebe,1,Michael,1,Johanna,1,Zanele,1,Khumalo,1
Abdullahi,1,Esther,1,Abiodun,1,Mohammed,1,Alemu,1,Tekle,1,Abera,1,Girma,1,Sipho,1,Lindiwe,1,Tebogo,1,Sithole,1
Mohammed,1,Grace,1,Muhammadu,1,Sani,1,Ali,1,Balcha,1,Hailu,1,Tadesse,1,Joseph,1,Martha,1,Linda,1,Mahlangu,1
Sunday,1,Amina,1,Uche,1,Adamu,1,Tesfaye,1,Kasa,1,Asefa,1,Solomon,1,Bongani,1,Busisiwe,1,Zandile,1,Mokoena,1
Umar,1,Zainab,1,Christian,1,Usman,1,Beyene,1,Geleta,1,Zeleke,1,Kebede,1,Jan,1,Patricia,1,Thandi,1,Mkhize,1
Emmanuel,1,Maryam,1,Toyin,1,Umar,1,Tefera,1,Reta,1,Berhe,1,Bekele,1,Daniel,1,Nonhlanhla,1,Sello,1,Mthembu,1
Adamu,1,Joy,1,Chika,1,Aliyu,1,Mamo,1,Shifa,1,Alemayehu,1,Hailu,1,Sibusiso,1,Sarah,1,Fikile,1,Zulu,1
Usman,1,Victoria,1,Idowu,1,Yusuf,1,Asfaw,1,Demise,1,Belete,1,Alemayehu,1,Petrus,1,Nokuthula,1,Lucky,1,Ngcobo,1
Aliyu,1,Elizabeth,1,Uchenna,1,Ali,1,Getachew,1,Dagne,1,Mengistu,1,Ahmed,1,Patrick,1,Joyce,1,Siphiwe,1,Gumede,1
Joseph,1,Hadiza,1,Temitope,1,Garba,1,Hassen,1,Zenebe,1,Abate,1,Alemu,1,Peter,1,Margaret,1,Thembinkosi,1,Naidoo,1
John,1,Mercy,1,Gift,1,Bello,1,Seid,1,Maru,1,Sisay,1,Almaz,1,Simon,1,Cynthia,1,Matome,1,Buthelezi,1
Aminu,1,Hauwa,1,Audu,1,Haruna,1,Mohamed,1,Ayana,1,Girma,1,Mulu,1,Willem,1,Nompumelelo,1,Sandile,1,Khoza,1
Yusuf,1,Ngozi,1,Favour,1,Hassan,1,Tilahun,1,Dessie,1,Melese,1,Teshome,1,Jacobus,1,Nomsa,1,Phumzile,1,Mathebula,1
Ali,1,Patience,1,Bukola,1,Lawal,1,Yimer,1,Guta,1,Taye,1,Mekonnen,1,Samuel,1,Christina,1,Thembi,1,Sibiya,1
Samuel,1,Comfort,1,Lucky,1,Aminu,1,Teshome,1,Wordofa,1,Legesse,1,Genet,1,William,1,Bongiwe,1,Phindile,1,Jacobs,1
Hassan,1,Christiana,1,Precious,1,Yakubu,1,Adem,1,Fanta,1,Kedir,1,Abera,1,Hendrik,1,Nomusa,1,Tshepo,1,Govender,1
Haruna,1,Aishatu,1,Opeyemi,1,Isah,1,Mulugeta,1,Gebrie,1,Getahun,1,Mulugeta,1,Pieter,1,Mary,1,Simphiwe,1,Mofokeng,1
Salisu,1,Florence,1,Gambo,1,John,1,Negash,1,Alene,1,Feleke,1,Tilahun,1,Thomas,1,Susanna,1,Andile,1,Botha,1
Peter,1,Halima,1,Oluwaseun,1,Idris,1,Assefa,1,Adera,1,Hagos,1,Worku,1,Richard,1,Eunice,1,Thokozani,1,Mhlongo,1
Bello,1,Felicia,1,Bright,1,Eze,1,Solomon,1,Leta,1,Teka,1,Tsegaye,1,Nkosinathi,1,Elsie,1,Thembisile,1,Smith,1
Garba,1,Rose,1,Kelechi,1,Yahaya,1,Hussen,1,Ayano,1,Nega,1,Ali,1,Jabulani,1,Ntombifuthi,1,Lerato,1,Baloyi,1
Kabiru,1,Helen,1,Amadu,1,Salisu,1,Tsegaye,1,Helen,1,Tadese,1,Tsehay,1,Thulani,1,Sylvia,1,Dimakatso,1,Mbatha,1
Isa,1,Ruth,1,Ugochukwu,1,Ahmed,1,Ayalew,1,Nur,1,Amare,1,Asefa,1,Xolani,1,Zodwa,1,Mokgadi,1,Pillay,1
Idris,1,Charity,1,Onyekachi,1,Sunday,1,Jemal,1,Belaye,1,Eshete,1,Abebech,1,Johan,1,Thandiwe,1,Lungile,1,Radebe,1
Isah,1,Chinyere,1,Dan,1,Akpan,1,Mengesha,1,Telila,1,Tulu,1,Jemal,1,Andries,1,Amanda,1,Thabiso,1,Ntuli,1
Yahaya,1,Janet,1,Adama,1,Isa,1,Shiferaw,1,Merga,1,Gudeta,1,Assefa,1,Robert,1,Nelisiwe,1,Lebogang,1,Zwane,1
David,1,Glory,1,Abu,1,Shehu,1,Mesfin,1,Meseret,1,Debele,1,Desta,1,George,1,Hester,1,Ayanda,1,Mazibuko,1
