American Male,Weight,American Female,Weight,American Unisex,Weight,American Surname,Weight,Canadian Male,Weight,Canadian Female,Weight,Canadian Unisex,Weight,Canadian Surname,Weight,Québécois Male,Weight,Québécois Female,Weight,Québécois Unisex,Weight,Québécois Surname,Weight
James,1,Mary,1,Valentine,1,Smith,1,Jackson,1,Sophia,1,Addison,1,Smith,1,Thomas,1,Emma,1,Alix,1,Tremblay,1
Robert,1,Patricia,1,Whitley,1,Johnson,1,Noah,1,Olivia,1,Ainsley,1,Brown,1,William,1,Léa,1,Ariel,1,Gagnon,1
John,1,Jennifer,1,Camden,1,Williams,1,Liam,1,Emma,1,Ash,1,Tremblay,1,Jacob,1,Olivia,1,Ashley,1,Roy,1
Michael,1,Linda,1,Tanner,1,Brown,1,Lucas,1,Amelia,1,Aubrey,1,Martin,1,Liam,1,Alice,1,Charlie,1,Cote,1
David,1,Elizabeth,1,Flynn,1,Jones,1,Benjamin,1,Aria,1,Bailey,1,Roy,1,Felix,1,Florence,1,Claude,1,Gauthier,1
William,1,Barbara,1,Harlowe,1,Taylor,1,Oliver,1,Charlotte,1,Bobbie,1,Gagnon,1,Nathan,1,Zoe,1,Dominique,1,Morin,1
Richard,1,Susan,1,Beck,1,Miller,1,Ethan,1,Ava,1,Brett,1,Lee,1,Samuel,1,Chloe,1,Eden,1,Belanger,1
Joseph,1,Jessica,1,Ali,1,Davis,1,Jacob,1,Mia,1,Brook,1,Wilson,1,Logan,1,Béatrice,1,Kim,1,Bouchard,1
Thomas,1,Sarah,1,Brooks,1,Wilson,1,Leo,1,Mila,1,Charlie,1,Johnson,1,Alexis,1,Charlotte,1,Lindsay,1,Pelletier,1
Charles,1,Karen,1,Carter,1,Anderson,1,Logan,1,Chloe,1,Corey,1,MacDonald,1,Noah,1,Rosalie,1,Lou,1,Gagne,1
Chris,1,Lisa,1,Channing,1,Thomas,1,William,1,Isabella,1,Dakota,1,Taylor,1,Olivier,1,Eva,1,Noa,1,Lavoie,1
Daniel,1,Nancy,1,Ramsey,1,Moore,1,Grayson,1,Zoe,1,Daryl,1,Campbell,1,Raphael,1,Juliette,1,Sacha,1,Fortin,1
Matthew,1,Betty,1,Remy,1,Jackson,1,Jack,1,Abigail,1,Eli,1,Anderson,1,Gabriel,1,Sofia,1,Sandy,1,Levesque,1
Anthony,1,Margaret,1,Max,1,Lee,1,James,1,Riley,1,Frankie,1,Jones,1,Emile,1,Jade,1,Sasha,1,Boucher,1
Mark,1,Sandra,1,Jesse,1,Perez,1,Aiden,1,Lily,1,Gray,1,LeBlanc,1,Leo,1,Camille,1,Jean,1,Bergeron,1
Donald,1,Ashley,1,Casey,1,Thompson,1,Lincoln,1,Everly,1,Harper,1,Cote,1,Charles,1,Victoria,1,Mackenson,1,Caron,1
Steven,1,Kimberly,1,Nicki,1,White,1,Theo,1,Layla,1,Hayden,1,Williams,1,Antoine,1,Mia,1,Robenson,1,LeBlanc,1
Paul,1,Emily,1,Blake,1,Harris,1,Thomas,1,Ella,1,Jamie,1,Miller,1,Benjamin,1,Charlie,1,Wilner,1,Girard,1
Andrew,1,Donna,1,Morgan,1,Clark,1,Mateo,1,Maya,1,Jesse,1,Thompson,1,Adam,1,Romy,1,Camille,1,Simard,1
Joshua,1,Michelle,1,Dylan,1,Lewis,1,Hudson,1,Nora,1,Kennedy,1,Gauthier,1,Edouard,1,Laurence,1,Yannik,1,LeFebvre,1
Kenneth,1,Carol,1,Tai,1,Robinson,1,Gabriel,1,Hannah,1,Morgan,1,White,1,Adrián,1,Adèle,1,Cyrille,1,Ouellet,1
Kevin,1,Amanda,1,Eli,1,Walker,1,Mason,1,Scarlett,1,Peyton,1,Morin,1,André,1,Amélie,1,Elie,1,Fournier,1
Brian,1,Dorothy,1,Merritt,1,Young,1,Owen,1,Harper,1,River,1,Wong,1,Bastien,1,Clémentine,1,Micka,1,Cloutier,1
George,1,Melissa,1,Reese,1,Allen,1,Kayden,1,Avery,1,Rudy,1,Young,1,Benoit,1,Éleanore,1,Dani,1,LeClerc,1
Timothy,1,Deborah,1,Aubrey,1,King,1,Alexander,1,Isla,1,Stevie,1,Bouchard,1,Cédric,1,Émilie,1,Rachel,1,Martin,1
Ronald,1,Stephanie,1,Colin,1,Wright,1,Luca,1,Alice,1,Tanner,1,Scott,1,Édouard,1,Frédérique,1,Christel,1,Poirier,1
Edward,1,Rebecca,1,Hollis,1,Scott,1,Jayden,1,Hailey,1,Taylor,1,Stewart,1,Étienne,1,Genavié,1,Edwige,1,Poulin,1
Jason,1,Sharon,1,Wynn,1,Torres,1,Nathan,1,Emily,1,Tyler,1,Pelletier,1,Jérémie,1,Maélie,1,Dany,1,Thibault,1
Jeffrey,1,Laura,1,Jo,1,Hill,1,Hunter,1,Charlie,1,West,1,Lavoie,1,Jérôme,1,Pénélope,1,Gael,1,Beaulieu,1
Ryan,1,Cynthia,1,Ash,1,Green,1,Theodore,1,Sophie,1,Winter,1,Robinson,1,Xavier,1,Renée,1,Jackie,1,Martel,1
